variable,n_obs,adf_stat_niveau,adf_pvalue_niveau,kpss_stat_niveau,kpss_pvalue_niveau,adf_stat_diff1,adf_pvalue_diff1,kpss_stat_diff1,kpss_pvalue_diff1,ordre_integration,confiance,note_kpss
BALANCE_COURANTE,34,-1.8790780271178658,0.3419665627693523,0.3055689997299883,0.1,-5.801852506072272,4.611335399507392e-07,0.10287315743099167,0.1,indetermine,"contradictoire (ADF non-stationnaire, KPSS stationnaire au niveau -- possible faible puissance)","p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
CROISSANCE_PIB,34,-10.958845372965447,8.426353058615792e-20,0.18975907457950747,0.1,-5.252383450334807,6.8664824363765685e-06,0.053685981943358836,0.1,I(0),concordant,"p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
DETO,34,-1.007592758322375,0.7504849530736152,0.6594987667718075,0.017227384838926586,-7.942200887593743,3.291037593576991e-12,0.059922557643787705,0.1,I(1),concordant,"p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
DETTE_PUBLIQUE,34,-2.2055578355254815,0.2042344708677371,0.18374861462479958,0.1,-3.735567074396956,0.003639793231680379,0.1555268311381708,0.1,indetermine,"contradictoire (ADF non-stationnaire, KPSS stationnaire au niveau -- possible faible puissance)","p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
EMAG,34,2.0706286516856407,0.9987579837465211,0.781328216790702,0.01,-2.0908122832882032,0.2482250415838156,0.24316649913133154,0.1,indetermine,"schema non standard, a examiner manuellement","p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
EMIN,34,-0.7295991531525278,0.8389330158311796,0.6220252468453453,0.02063406846860497,-4.532916679459487,0.00017139412861570801,0.13217273413769792,0.1,I(1),concordant,"p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
FBCF,34,-1.6288724144737743,0.4680809916231929,0.4742227117345264,0.04747236222195352,-5.933086228622845,2.355338004320808e-07,0.09768574832298088,0.1,I(1),concordant,"p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
IDEE,34,-2.6965322754737846,0.07464026152991853,0.19121407121886974,0.1,-13.39815075011582,4.622987421709684e-25,0.07314734045421335,0.1,indetermine,"contradictoire (ADF non-stationnaire, KPSS stationnaire au niveau -- possible faible puissance)","p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
INFLATION_CPI,34,-2.876609971199356,0.048136331970391764,0.3420901161187884,0.1,-4.903310823267912,3.436053725085306e-05,0.20460351075670047,0.1,I(0),concordant,"p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
POP_ACTIVE_TOTALE,34,-3.6882134768205943,0.00428202997367134,0.764038190352881,0.01,-6.182720719322196,6.397264165738187e-08,0.7205163810093472,0.01168032899915025,indetermine,"contradictoire (ADF stationnaire, KPSS non-stationnaire au niveau)","p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
RETO,34,-1.5039677992169551,0.5315476201666949,0.725232057583655,0.01125163112875863,-7.261277446749029,1.679026699813285e-10,0.05681090574101408,0.1,I(1),concordant,"p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
SOBG,34,-1.8822647568203579,0.3404497691385798,0.5502067090411579,0.030358849315054528,-0.6208385858007484,0.8662034981373702,0.044365121133867765,0.1,indetermine,"schema non standard, a examiner manuellement","p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
SOPR,34,-2.7634466725887945,0.0636878269348976,0.6979075059297623,0.013735681279112521,-0.32523581719109695,0.9218533599180623,0.0536288722382541,0.1,indetermine,"schema non standard, a examiner manuellement","p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
TAAC,34,0.868882958442742,0.9926705026216135,0.6564965270541457,0.017500315722350387,-7.268190121357846,1.614186912777983e-10,0.4197972243097658,0.06862188607337683,I(1),concordant,"p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
TACH,34,-1.0946239831182816,0.7172110298759606,0.6401614675123914,0.01898532113523714,-6.468479289245003,1.3860692900079906e-08,0.11759012224865065,0.1,I(1),concordant,"p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
TCER,34,-1.2331684887954615,0.6591672502706812,0.3971080957003756,0.07840168288776915,-4.796335096800589,5.527072331837241e-05,0.2225078954097372,0.1,indetermine,"contradictoire (ADF non-stationnaire, KPSS stationnaire au niveau -- possible faible puissance)","p-value KPSS bornee par la table de la statistique (< 0.01 ou > 0.10) : rapportee telle quelle par statsmodels, interpretee au seuil indique"
