origin,target_year,y_true,y_pred,block,n_train,n_features_non_nulles,cible,horizon,modele,n_pays_entrainement,effets_fixes_pays,p_retenu
2006,2007,3.44106776690418,5.271018442496528,interne,6.0,11.0,CROISSANCE_PIB,1,elasticnet,,,
2007,2008,5.68453936284732,7.484146964770938,interne,7.0,12.0,CROISSANCE_PIB,1,elasticnet,,,
2008,2009,3.74576940136258,4.864963887294922,interne,8.0,12.0,CROISSANCE_PIB,1,elasticnet,,,
2009,2010,3.49955709403216,3.6697278678919902,interne,9.0,11.0,CROISSANCE_PIB,1,elasticnet,,,
2010,2011,5.52464523319847,4.755557541047197,interne,10.0,13.0,CROISSANCE_PIB,1,elasticnet,,,
2011,2012,3.06234368502997,4.755390641736866,interne,11.0,12.0,CROISSANCE_PIB,1,elasticnet,,,
2012,2013,4.12221286860944,5.842130894093925,interne,12.0,12.0,CROISSANCE_PIB,1,elasticnet,,,
2013,2014,2.7192440802029,4.817120975226504,interne,13.0,12.0,CROISSANCE_PIB,1,elasticnet,,,
2014,2015,4.34458297635238,4.004218276281102,interne,14.0,16.0,CROISSANCE_PIB,1,elasticnet,,,
2015,2016,0.52118550608968,3.910441193953489,interne,15.0,17.0,CROISSANCE_PIB,1,elasticnet,,,
2016,2017,5.05789816173446,4.618357888533813,interne,16.0,16.0,CROISSANCE_PIB,1,elasticnet,,,
2017,2018,3.06564133025955,2.9030291616134947,interne,17.0,16.0,CROISSANCE_PIB,1,elasticnet,,,
2018,2019,2.89097476137077,4.219662908441986,interne,18.0,16.0,CROISSANCE_PIB,1,elasticnet,,,
2019,2020,-7.17820744246774,4.409119953456356,interne,19.0,17.0,CROISSANCE_PIB,1,elasticnet,,,
2020,2021,8.15473889823681,6.13259513832571,finale,20.0,14.0,CROISSANCE_PIB,1,elasticnet,,,
2021,2022,1.81269242194809,-2.614242713612259,finale,21.0,16.0,CROISSANCE_PIB,1,elasticnet,,,
2022,2023,3.65564411017931,4.990909344673184,finale,22.0,17.0,CROISSANCE_PIB,1,elasticnet,,,
2023,2024,3.79336515978963,1.3897419354805947,finale,23.0,17.0,CROISSANCE_PIB,1,elasticnet,,,
2002,2003,6.17110214953244,7.471126554578078,interne,18.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2003,2004,4.57138016516208,5.716445347433105,interne,27.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2004,2005,3.19224973015831,4.365734180678488,interne,36.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2005,2006,7.7908200104027,3.5794391775396144,interne,45.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2006,2007,3.44106776690418,4.488062459269804,interne,54.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2007,2008,5.68453936284732,5.214471122928012,interne,63.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2008,2009,3.74576940136258,4.401594611247182,interne,72.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2009,2010,3.49955709403216,3.389966619858284,interne,81.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2010,2011,5.52464523319847,4.2973656157920574,interne,90.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2011,2012,3.06234368502997,4.203750997161477,interne,99.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2012,2013,4.12221286860944,4.100781383767857,interne,108.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2013,2014,2.7192440802029,4.076599905435531,interne,117.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2014,2015,4.34458297635238,3.6020564010273413,interne,126.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2015,2016,0.52118550608968,3.9115782845192033,interne,135.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2016,2017,5.05789816173446,3.1957691652268414,interne,144.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2017,2018,3.06564133025955,3.828686374529522,interne,153.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2018,2019,2.89097476137077,3.863699835452008,interne,162.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2019,2020,-7.17820744246774,3.7182509951613456,interne,171.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2020,2021,8.15473889823681,0.5935758548877601,finale,180.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2021,2022,1.81269242194809,3.1180097358019054,finale,189.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2022,2023,3.65564411017931,4.812384760453352,finale,198.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2023,2024,3.79336515978963,4.470898352702508,finale,207.0,,CROISSANCE_PIB,1,panel_avec_effets_fixes,9.0,True,
2002,2003,6.17110214953244,2.767163614638241,interne,16.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2003,2004,4.57138016516208,3.4111300970869927,interne,24.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2004,2005,3.19224973015831,4.478784599988977,interne,32.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2005,2006,7.7908200104027,3.482392320184908,interne,40.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2006,2007,3.44106776690418,4.681497917556664,interne,48.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2007,2008,5.68453936284732,4.833399600543817,interne,56.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2008,2009,3.74576940136258,4.1909192268334685,interne,64.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2009,2010,3.49955709403216,3.1938127075877323,interne,72.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2010,2011,5.52464523319847,3.9338009493733437,interne,80.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2011,2012,3.06234368502997,4.112067355606518,interne,88.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2012,2013,4.12221286860944,3.442067245988656,interne,96.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2013,2014,2.7192440802029,3.60345593032527,interne,104.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2014,2015,4.34458297635238,3.3451470347621766,interne,112.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2015,2016,0.52118550608968,3.827642501984883,interne,120.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2016,2017,5.05789816173446,2.7350769556701806,interne,128.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2017,2018,3.06564133025955,3.839785155600128,interne,136.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2018,2019,2.89097476137077,3.8397683398385065,interne,144.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2019,2020,-7.17820744246774,3.5152182133855594,interne,152.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2020,2021,8.15473889823681,-0.06510873071904344,finale,160.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2021,2022,1.81269242194809,3.4811849155081163,finale,168.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2022,2023,3.65564411017931,4.709273085617959,finale,176.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2023,2024,3.79336515978963,4.8094261669441245,finale,184.0,,CROISSANCE_PIB,1,panel_leave_one_country_out,8.0,False,
2006,2007,3.44106776690418,7.7908200104027,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2007,2008,5.68453936284732,3.44106776690418,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2008,2009,3.74576940136258,5.68453936284732,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2009,2010,3.49955709403216,3.74576940136258,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2010,2011,5.52464523319847,3.49955709403216,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2011,2012,3.06234368502997,5.52464523319847,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2012,2013,4.12221286860944,3.06234368502997,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2013,2014,2.7192440802029,4.12221286860944,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2014,2015,4.34458297635238,2.7192440802029,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2015,2016,0.52118550608968,4.34458297635238,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2016,2017,5.05789816173446,0.52118550608968,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2017,2018,3.06564133025955,5.05789816173446,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2018,2019,2.89097476137077,3.06564133025955,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2019,2020,-7.17820744246774,2.89097476137077,interne,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2020,2021,8.15473889823681,-7.17820744246774,finale,,,CROISSANCE_PIB,1,baseline_random_walk,,,
2021,2022,1.81269242194809,8.15473889823681,finale,,,CROISSANCE_PIB,1,baseline_random_walk,,,
