cible,horizon,modele,bloc,baseline_comparaison,n_previsions,rmse_modele,mae_modele,rmse_baseline,mae_baseline,biais_moyen_modele,gain_rmse_vs_baseline_pct,seuil_gain_atteint,statut,dm_pvalue_hln,dm_statut,rmse_relative_modele,rmse_relative_baseline,derive_systematique
CROISSANCE_PIB,1,elasticnet,interne,random_walk,14,3.449017248547998,2.031902962817964,3.6278525352796436,2.7107134567026288,1.7873879865223563,4.929508159235595,False,evalue,0.6933209406844223,calcule,,,
CROISSANCE_PIB,1,elasticnet,finale,random_walk,4,2.7949578677992566,2.5469918385685895,8.347697811477595,5.913916388708702,-1.8793592213216526,66.51821938311718,True,evalue,,non_calcule,,,
CROISSANCE_PIB,1,panel_avec_effets_fixes,interne,random_walk,14,3.186870951591089,1.7612306972998586,3.6278525352796436,2.7107134567026288,1.1279413561321676,12.155444009924807,True,evalue,0.19402940985557438,calcule,,,
CROISSANCE_PIB,1,panel_avec_effets_fixes,finale,random_walk,4,3.8946161562292994,2.675188550097446,8.347697811477595,5.913916388708702,-1.1053929715770785,53.34502704596673,True,evalue,,non_calcule,,,
CROISSANCE_PIB,1,panel_leave_one_country_out,interne,random_walk,14,3.169134248958452,1.863747625373388,3.6278525352796436,2.7107134567026288,0.8994431678236274,12.644347637074842,True,evalue,0.1237538832332774,calcule,,,
CROISSANCE_PIB,1,panel_leave_one_country_out,finale,random_walk,4,4.257119807817869,2.9895075262772552,8.347697811477595,5.913916388708702,-1.1204162882006705,49.00246865711192,True,evalue,,non_calcule,,,
CROISSANCE_PIB,2,elasticnet,interne,random_walk,12,3.532430471332079,2.0039698479186527,3.3141496888808413,2.045023081502236,1.6824839842504995,-6.586328408266589,False,evalue,0.5035959501766367,calcule,,,
CROISSANCE_PIB,2,elasticnet,finale,random_walk,4,2.4249176290481946,1.6175512148029,5.759956850247763,5.183607881795228,-1.6175512148029,57.900420227212514,True,evalue,,non_calcule,,,
CROISSANCE_PIB,2,panel_avec_effets_fixes,interne,random_walk,12,3.607527141035195,2.1790256717443297,3.3141496888808413,2.045023081502236,1.6572767542853304,-8.852269200110404,False,evalue,0.3307137426370821,calcule,,,
CROISSANCE_PIB,2,panel_avec_effets_fixes,finale,random_walk,4,2.2358724110500723,1.6057996040334006,5.759956850247763,5.183607881795228,-0.524635716397597,61.182479848718025,True,evalue,,non_calcule,,,
