cible,horizon,famille,modele,n_previsions,rmse_modele,rmse_baseline,gain_rmse_vs_baseline_pct,rmse_relative_modele,rmse_relative_baseline,biais_moyen_modele,derive_systematique,dm_pvalue_hln,statut,verdict
BALANCE_COURANTE,1,niveau_ratio,elasticnet,4,1.2189765809171702,1.584866977999292,,0.5879007424552226,0.7643661803227548,-0.2342470435972669,False,,evalue,"RMSE relative < baseline et pas de derive, DM non significatif ou non calcule"
BALANCE_COURANTE,2,niveau_ratio,elasticnet,4,1.1934409494602627,1.9448959421294687,,0.5755851517149285,0.938004705156644,-0.5509369135103855,False,,evalue,"RMSE relative < baseline et pas de derive, DM non significatif ou non calcule"
BALANCE_COURANTE,3,niveau_ratio,panel_avec_effets_fixes,4,1.3315245031391485,1.3837900672361274,,0.6421815285440816,0.6673887100588698,1.00586918266578,True,,evalue,RMSE relative < baseline MAIS derive systematique detectee (biais > 0.5*RMSE) : a ne pas retenir tel quel
BALANCE_COURANTE,4,niveau_ratio,panel_avec_effets_fixes,4,1.3310681462617913,1.3839392756205324,,0.6419614319883128,0.6674606718351217,1.0396781381234663,True,,evalue,RMSE relative < baseline MAIS derive systematique detectee (biais > 0.5*RMSE) : a ne pas retenir tel quel
BALANCE_COURANTE,5,niveau_ratio,panel_avec_effets_fixes,4,1.3106950499397856,2.3266476207571976,,0.6321356825511849,1.1221198873612968,0.7845063496125375,True,,evalue,RMSE relative < baseline MAIS derive systematique detectee (biais > 0.5*RMSE) : a ne pas retenir tel quel
CROISSANCE_PIB,1,variation,elasticnet,4,2.7949578677992566,8.347697811477595,66.51821938311718,,,-1.8793592213216528,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,2,variation,panel_leave_one_country_out,4,2.198295153541491,5.759956850247763,61.83486767879291,,,-0.5173872701874793,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,3,variation,panel_avec_effets_fixes,4,2.2920770530820684,6.392486355306372,64.1442010872745,,,-0.5233564327728505,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,4,variation,panel_avec_effets_fixes,4,2.3276219692232143,5.74718252915529,59.49977302068873,,,-0.3872855510436518,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,5,variation,panel_leave_one_country_out,4,2.2488652482640887,4.182251468879381,46.228358935416566,,,-0.3239203470189848,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
