portefeuille,score_moyen,redondance,objectif
"('CHL', 'PRT', 'VNM')",0.8095763646494228,0.31749285007948536,0.6508299396096802
"('CHL', 'URY', 'VNM')",0.8098245198879658,0.33572959918978373,0.6419597202930739
"('CHL', 'DNK', 'VNM')",0.7917209224457915,0.3028900673924693,0.6402758887495569
"('CHL', 'TUR', 'DNK')",0.8542416099433595,0.42958028727644604,0.6394514663051365
"('CHL', 'CRI', 'VNM')",0.8071157034335901,0.345199687772275,0.6345158595474526
"('CHL', 'TUR', 'CRI')",0.8696363909311581,0.47780953905769846,0.6307316214023089
"('CHL', 'TUR', 'PRT')",0.8720970521469908,0.4839315807636352,0.6301312617651733
"('CHL', 'TUR', 'URY')",0.8723452073855338,0.487666606566063,0.6285119041025022
"('CHL', 'PRT', 'CRI')",0.8545928147956451,0.45357737367566786,0.6278041279578112
"('TUR', 'PRT', 'CRI')",0.846655948430633,0.4386658775919359,0.627323009634665
"('TUR', 'CRI', 'DNK')",0.8288005062270017,0.40318798367000763,0.6272065143919979
"('TUR', 'URY', 'DNK')",0.8315093226813772,0.411341672477813,0.6258384864424708
"('URY', 'PRT', 'VNM')",0.7868440773874404,0.3263489907702197,0.6236695820023306
"('PRT', 'CRI', 'VNM')",0.784135260933065,0.32387371133632603,0.6221984052649019
"('TUR', 'DNK', 'VNM')",0.7837840560807794,0.32567121621730416,0.6209484479721273
"('TUR', 'PRT', 'VNM')",0.8016394982844107,0.3620096352332127,0.6206346806678044
"('TUR', 'URY', 'PRT')",0.8493647648850086,0.4604683131166854,0.6191306083266659
"('CHL', 'CRI', 'DNK')",0.8367373725920139,0.43983511608263204,0.6168198145506978
"('CHL', 'URY', 'PRT')",0.8573016312500208,0.4854010168094769,0.6146011228452823
"('URY', 'DNK', 'VNM')",0.7689886351838092,0.3169708609315206,0.610503204718049
"('CHL', 'URY', 'DNK')",0.8394461890463895,0.458010012499497,0.610441182796641
"('CRI', 'DNK', 'VNM')",0.7662798187294336,0.32814432821457096,0.6022076546221482
"('CHL', 'URY', 'CRI')",0.854840970034188,0.5166490524915309,0.5965164437884225
"('TUR', 'URY', 'VNM')",0.8018876535229534,0.41225658574557694,0.595759360650165
"('TUR', 'PRT', 'DNK')",0.8312611674428344,0.4761131725466945,0.5932045811694872
"('PRT', 'DNK', 'VNM')",0.7687404799452664,0.36724063769253146,0.5851201610990007
"('TUR', 'CRI', 'VNM')",0.799178837068578,0.4317478819371279,0.583304896100014
"('TUR', 'URY', 'MYS')",0.7279003659433526,0.29508146478152486,0.5803596335525902
"('TUR', 'URY', 'CRI')",0.8469041036691758,0.5337477578098648,0.5800302247642434
"('TUR', 'PRT', 'MYS')",0.7276522107048099,0.29730117198293304,0.5790016247133434
"('TUR', 'CRI', 'MYS')",0.7251915494889771,0.3021227750994471,0.5741301619392536
"('URY', 'CRI', 'VNM')",0.7843834161716078,0.4334573148621257,0.5676547587405449
"('TUR', 'DNK', 'MYS')",0.7097967685011786,0.29179853132688904,0.563897502837734
"('CHL', 'URY', 'MYS')",0.7358372323083647,0.3469641126662837,0.5623551759752229
"('CHL', 'PRT', 'DNK')",0.8391980338078465,0.5547917139704444,0.5618021768226243
"('CHL', 'CRI', 'MYS')",0.7331284158539892,0.34398421537514634,0.561136308166416
"('CHL', 'PRT', 'MYS')",0.735589077069822,0.3811940212697578,0.5449920664349431
"('PRT', 'CRI', 'MYS')",0.7101479733534641,0.34779360593209896,0.5362511703874147
"('URY', 'PRT', 'MYS')",0.7128567898078396,0.36271887123962127,0.531497354188029
"('CHL', 'DNK', 'MYS')",0.7177336348661907,0.3974270169426063,0.5190201263948875
"('URY', 'CRI', 'MYS')",0.710396128592007,0.4049105517441261,0.5079408527199439
"('URY', 'DNK', 'MYS')",0.6950013476042084,0.3841765197607866,0.502913087723815
"('CRI', 'DNK', 'MYS')",0.6922925311498328,0.3829000011702084,0.5008425305647286
"('PRT', 'VNM', 'MYS')",0.6651315232072418,0.34587906431960314,0.4921919910474402
"('URY', 'VNM', 'MYS')",0.6653796784457846,0.3581610804260656,0.48629913823275184
"('CHL', 'TUR', 'VNM')",0.8246199407849358,0.6881233941945412,0.48055824368766525
"('CRI', 'VNM', 'MYS')",0.6626708619914091,0.3845295468348436,0.47040608857398736
"('DNK', 'VNM', 'MYS')",0.6472760810036106,0.38012493446373236,0.4572136137717444
"('CHL', 'TUR', 'MYS')",0.750632653205335,0.5982795639513601,0.451492871229655
"('PRT', 'DNK', 'MYS')",0.6947531923656656,0.48691295423556996,0.4512967152478806
"('URY', 'PRT', 'CRI')",0.8318605275336628,0.7942385415675328,0.4347412567498964
"('URY', 'CRI', 'DNK')",0.8140050853300315,0.7857209368228141,0.4211446169186244
"('PRT', 'CRI', 'DNK')",0.8137569300914888,0.7911557838782601,0.4181790381523587
"('URY', 'PRT', 'DNK')",0.8164657465458642,0.82127604831151,0.4058277223901092
"('CHL', 'VNM', 'MYS')",0.6881119657077669,0.6290397712582165,0.37359208007865863
"('TUR', 'VNM', 'MYS')",0.6801750993427548,0.6466066122199765,0.3568717932327665
