pays,cible,horizon,origine,annee_projetee,valeur_projetee,n_entrainement,specification,horizon_teste_backtest
MAR,CROISSANCE_PIB,1,2024,2025,5.04998335006836,24,etape2_fige,True
MAR,CROISSANCE_PIB,2,2024,2026,3.509711489313411,23,etape2_fige,True
MAR,CROISSANCE_PIB,3,2024,2027,3.620156701406159,22,etape2_fige,True
MAR,CROISSANCE_PIB,4,2024,2028,3.4986831086382404,21,etape2_fige,True
MAR,CROISSANCE_PIB,5,2024,2029,3.7460997755877137,20,etape2_fige,True
MAR,CROISSANCE_PIB,6,2024,2030,3.4583534413727715,19,etape3_nouveau,False
MAR,CROISSANCE_PIB,7,2024,2031,3.2176608542044423,18,etape3_nouveau,False
MAR,CROISSANCE_PIB,8,2024,2032,3.2045192711044574,17,etape3_nouveau,False
MAR,CROISSANCE_PIB,9,2024,2033,3.049518015370529,16,etape3_nouveau,False
MAR,CROISSANCE_PIB,10,2024,2034,3.003101256304392,15,etape3_nouveau,False
VNM,CROISSANCE_PIB,1,2024,2025,6.308198058734143,24,etape3_nouveau,True
VNM,CROISSANCE_PIB,2,2024,2026,6.313211308577637,23,etape3_nouveau,True
VNM,CROISSANCE_PIB,3,2024,2027,6.312865413894423,22,etape3_nouveau,True
VNM,CROISSANCE_PIB,4,2024,2028,6.284951219767846,21,etape3_nouveau,True
VNM,CROISSANCE_PIB,5,2024,2029,6.222378250311045,20,etape3_nouveau,True
VNM,CROISSANCE_PIB,6,2024,2030,6.572706702897633,19,etape3_nouveau,False
VNM,CROISSANCE_PIB,7,2024,2031,6.106797914816368,18,etape3_nouveau,False
VNM,CROISSANCE_PIB,8,2024,2032,6.046638704743542,17,etape3_nouveau,False
VNM,CROISSANCE_PIB,9,2024,2033,6.0706929232329125,16,etape3_nouveau,False
VNM,CROISSANCE_PIB,10,2024,2034,6.299193468408714,15,etape3_nouveau,False
CRI,CROISSANCE_PIB,1,2024,2025,3.987653928136062,24,etape3_nouveau,True
CRI,CROISSANCE_PIB,2,2024,2026,4.009240180004706,23,etape3_nouveau,True
CRI,CROISSANCE_PIB,3,2024,2027,3.842160545851745,22,etape3_nouveau,True
CRI,CROISSANCE_PIB,4,2024,2028,4.022784189534416,21,etape3_nouveau,True
CRI,CROISSANCE_PIB,5,2024,2029,4.002693409677408,20,etape3_nouveau,True
CRI,CROISSANCE_PIB,6,2024,2030,4.004063256800713,19,etape3_nouveau,False
CRI,CROISSANCE_PIB,7,2024,2031,7.321784209980146,18,etape3_nouveau,False
CRI,CROISSANCE_PIB,8,2024,2032,4.618695189226992,17,etape3_nouveau,False
CRI,CROISSANCE_PIB,9,2024,2033,4.475817552909088,16,etape3_nouveau,False
CRI,CROISSANCE_PIB,10,2024,2034,3.7780437085110816,15,etape3_nouveau,False
DNK,CROISSANCE_PIB,1,2024,2025,1.3752629232509943,24,etape3_nouveau,True
DNK,CROISSANCE_PIB,2,2024,2026,1.3937512135662498,23,etape3_nouveau,True
DNK,CROISSANCE_PIB,3,2024,2027,1.4363521769656253,22,etape3_nouveau,True
DNK,CROISSANCE_PIB,4,2024,2028,1.4837455660294598,21,etape3_nouveau,True
DNK,CROISSANCE_PIB,5,2024,2029,1.4191152539589065,20,etape3_nouveau,True
DNK,CROISSANCE_PIB,6,2024,2030,1.167416489787652,19,etape3_nouveau,False
DNK,CROISSANCE_PIB,7,2024,2031,1.269553550542686,18,etape3_nouveau,False
DNK,CROISSANCE_PIB,8,2024,2032,1.3401021269697615,17,etape3_nouveau,False
DNK,CROISSANCE_PIB,9,2024,2033,-0.7465140105457555,16,etape3_nouveau,False
DNK,CROISSANCE_PIB,10,2024,2034,1.7740461487271724,15,etape3_nouveau,False
CHL,CROISSANCE_PIB,1,2024,2025,3.402067146773985,24,etape3_nouveau,True
CHL,CROISSANCE_PIB,2,2024,2026,3.4043336027959525,23,etape3_nouveau,True
CHL,CROISSANCE_PIB,3,2024,2027,3.413494260413899,22,etape3_nouveau,True
CHL,CROISSANCE_PIB,4,2024,2028,3.351125164785494,21,etape3_nouveau,True
CHL,CROISSANCE_PIB,5,2024,2029,3.1849687146133077,20,etape3_nouveau,True
CHL,CROISSANCE_PIB,6,2024,2030,3.045385714373082,19,etape3_nouveau,False
CHL,CROISSANCE_PIB,7,2024,2031,2.8784632081916053,18,etape3_nouveau,False
CHL,CROISSANCE_PIB,8,2024,2032,2.7437709860096815,17,etape3_nouveau,False
CHL,CROISSANCE_PIB,9,2024,2033,2.6784196222382626,16,etape3_nouveau,False
CHL,CROISSANCE_PIB,10,2024,2034,1.1304208385889345,15,etape3_nouveau,False
MYS,CROISSANCE_PIB,1,2024,2025,4.502097778212094,24,etape3_nouveau,True
MYS,CROISSANCE_PIB,2,2024,2026,4.675333537299887,23,etape3_nouveau,True
MYS,CROISSANCE_PIB,3,2024,2027,4.642803775044065,22,etape3_nouveau,True
MYS,CROISSANCE_PIB,4,2024,2028,4.588246845956283,21,etape3_nouveau,True
MYS,CROISSANCE_PIB,5,2024,2029,11.958179400778537,20,etape3_nouveau,True
MYS,CROISSANCE_PIB,6,2024,2030,4.020500559327247,19,etape3_nouveau,False
MYS,CROISSANCE_PIB,7,2024,2031,3.5459996112775616,18,etape3_nouveau,False
MYS,CROISSANCE_PIB,8,2024,2032,5.255931466350231,17,etape3_nouveau,False
MYS,CROISSANCE_PIB,9,2024,2033,5.477084936704222,16,etape3_nouveau,False
MYS,CROISSANCE_PIB,10,2024,2034,4.305558554976634,15,etape3_nouveau,False
PRT,CROISSANCE_PIB,1,2024,2025,0.9862123105938929,24,etape3_nouveau,True
PRT,CROISSANCE_PIB,2,2024,2026,0.9445836226075773,23,etape3_nouveau,True
PRT,CROISSANCE_PIB,3,2024,2027,0.9524772063057528,22,etape3_nouveau,True
PRT,CROISSANCE_PIB,4,2024,2028,1.0421437897042611,21,etape3_nouveau,True
PRT,CROISSANCE_PIB,5,2024,2029,1.0048142027308287,20,etape3_nouveau,True
PRT,CROISSANCE_PIB,6,2024,2030,1.0165492887101573,19,etape3_nouveau,False
PRT,CROISSANCE_PIB,7,2024,2031,0.9827445086628569,18,etape3_nouveau,False
PRT,CROISSANCE_PIB,8,2024,2032,0.8931071634364185,17,etape3_nouveau,False
PRT,CROISSANCE_PIB,9,2024,2033,0.9289734021240348,16,etape3_nouveau,False
PRT,CROISSANCE_PIB,10,2024,2034,1.199043513962366,15,etape3_nouveau,False
TUR,CROISSANCE_PIB,1,2024,2025,5.024885549592333,24,etape3_nouveau,True
TUR,CROISSANCE_PIB,2,2024,2026,5.166948305369995,23,etape3_nouveau,True
TUR,CROISSANCE_PIB,3,2024,2027,5.437325124450703,22,etape3_nouveau,True
TUR,CROISSANCE_PIB,4,2024,2028,5.420098072739534,21,etape3_nouveau,True
TUR,CROISSANCE_PIB,5,2024,2029,5.194832700417199,20,etape3_nouveau,True
TUR,CROISSANCE_PIB,6,2024,2030,2.782285894031917,19,etape3_nouveau,False
TUR,CROISSANCE_PIB,7,2024,2031,4.873191692971568,18,etape3_nouveau,False
TUR,CROISSANCE_PIB,8,2024,2032,5.307565271713286,17,etape3_nouveau,False
TUR,CROISSANCE_PIB,9,2024,2033,2.643655581654248,16,etape3_nouveau,False
TUR,CROISSANCE_PIB,10,2024,2034,5.295344797850002,15,etape3_nouveau,False
URY,CROISSANCE_PIB,1,2024,2025,2.5086644436104635,24,etape3_nouveau,True
URY,CROISSANCE_PIB,2,2024,2026,2.784872895915429,23,etape3_nouveau,True
URY,CROISSANCE_PIB,3,2024,2027,1.7685985300517861,22,etape3_nouveau,True
URY,CROISSANCE_PIB,4,2024,2028,-1.833142276593747,21,etape3_nouveau,True
URY,CROISSANCE_PIB,5,2024,2029,-0.2984999084661766,20,etape3_nouveau,True
URY,CROISSANCE_PIB,6,2024,2030,2.1944506425375656,19,etape3_nouveau,False
URY,CROISSANCE_PIB,7,2024,2031,3.0231072258453113,18,etape3_nouveau,False
URY,CROISSANCE_PIB,8,2024,2032,4.682794099519673,17,etape3_nouveau,False
URY,CROISSANCE_PIB,9,2024,2033,2.543642159726023,16,etape3_nouveau,False
URY,CROISSANCE_PIB,10,2024,2034,2.4303186907328067,15,etape3_nouveau,False
MAR,INFLATION_CPI,1,2024,2025,1.941753827880104,24,etape2_fige,True
MAR,INFLATION_CPI,2,2024,2026,1.909822805690191,23,etape2_fige,True
MAR,INFLATION_CPI,3,2024,2027,1.8679572827457682,22,etape2_fige,True
MAR,INFLATION_CPI,4,2024,2028,1.899845711232996,21,etape2_fige,True
MAR,INFLATION_CPI,5,2024,2029,1.9201657951037585,20,etape2_fige,True
MAR,INFLATION_CPI,6,2024,2030,1.9695091706346959,19,etape3_nouveau,False
MAR,INFLATION_CPI,7,2024,2031,18.10521654431477,18,etape3_nouveau,False
MAR,INFLATION_CPI,8,2024,2032,1.8878722026928045,17,etape3_nouveau,False
MAR,INFLATION_CPI,9,2024,2033,3.330019710259049,16,etape3_nouveau,False
MAR,INFLATION_CPI,10,2024,2034,-3.24279972454773,15,etape3_nouveau,False
VNM,INFLATION_CPI,1,2024,2025,3.983927653105809,23,etape3_nouveau,True
VNM,INFLATION_CPI,2,2024,2026,6.398522602272792,22,etape3_nouveau,True
VNM,INFLATION_CPI,3,2024,2027,6.549183289383917,21,etape3_nouveau,True
VNM,INFLATION_CPI,4,2024,2028,6.488895079498308,20,etape3_nouveau,True
VNM,INFLATION_CPI,5,2024,2029,6.503515837302589,19,etape3_nouveau,True
VNM,INFLATION_CPI,6,2024,2030,7.173497142076809,18,etape3_nouveau,False
VNM,INFLATION_CPI,7,2024,2031,12.753440189207314,17,etape3_nouveau,False
VNM,INFLATION_CPI,8,2024,2032,6.191950735107904,16,etape3_nouveau,False
VNM,INFLATION_CPI,9,2024,2033,43.141445077470266,15,etape3_nouveau,False
VNM,INFLATION_CPI,10,2024,2034,7.001956810741821,15,etape3_nouveau,False
CRI,INFLATION_CPI,1,2024,2025,1.966084681274007,24,etape3_nouveau,True
CRI,INFLATION_CPI,2,2024,2026,-2.3570231897989746,23,etape3_nouveau,True
CRI,INFLATION_CPI,3,2024,2027,1.2474552509732906,22,etape3_nouveau,True
CRI,INFLATION_CPI,4,2024,2028,1.4012296841832814,21,etape3_nouveau,True
CRI,INFLATION_CPI,5,2024,2029,1.5640251820501807,20,etape3_nouveau,True
CRI,INFLATION_CPI,6,2024,2030,2.296565104135269,19,etape3_nouveau,False
CRI,INFLATION_CPI,7,2024,2031,-0.07381290682287034,18,etape3_nouveau,False
