cible,mediane,moyenne,borne_basse_68,borne_haute_68,borne_basse_95,borne_haute_95,scenario,horizon,distribution,annee_projetee,horizon_teste_backtest,n_tirages
CROISSANCE_PIB,3.269381174218743,3.24265383322984,-0.03790908907910676,6.532052433660624,-3.2768826684166226,9.572429065300915,benchmark_pur,1,gaussienne,2025,True,10000
INFLATION_CPI,2.2671349880196274,2.2797517105214915,0.34600572742539565,4.209171366030646,-1.4673583794383673,6.088842119169318,benchmark_pur,1,gaussienne,2025,True,10000
SOBG,-1.367084535817408,-1.3795692915707694,-3.3330676139969886,0.5446925454992378,-5.212757845219994,2.486473813186641,benchmark_pur,1,gaussienne,2025,True,10000
DETTE_PUBLIQUE,42.57362280625749,42.570837431980884,37.79695258900232,47.382430219739625,33.10263133577258,51.99468755812243,benchmark_pur,1,gaussienne,2025,True,10000
BALANCE_COURANTE,4.769553452115831,4.829546463787657,1.9003072945569555,7.830856173385241,-0.8621564628612765,10.683539062131656,benchmark_pur,1,gaussienne,2025,True,10000
TACH,5.851906212979215,5.855665963258439,5.024851385654115,6.682752837132955,4.233951732424644,7.4942984799961945,benchmark_pur,1,gaussienne,2025,True,10000
FBCF,22.043926820183987,22.034780629483926,19.879724983805776,24.204550593225484,17.760127948597532,26.171446752371846,benchmark_pur,1,gaussienne,2025,True,10000
CROISSANCE_PIB,4.577606349569782,4.269242489263964,1.2267744425874674,5.34679509752217,-1.1780169330617825,14.836245598422662,benchmark_pur,1,bootstrap_empirique,2025,True,10000
INFLATION_CPI,2.744774892116349,2.1124988969055827,0.3226082792710201,3.5349031236045603,-2.918868931401163,4.173812801384914,benchmark_pur,1,bootstrap_empirique,2025,True,10000
SOBG,-0.5811428280007953,-0.7892617756525119,-1.955673506850951,1.8475671311172426,-4.995678425813821,2.2840921225306223,benchmark_pur,1,bootstrap_empirique,2025,True,10000
DETTE_PUBLIQUE,41.572295962404446,42.07574822318877,39.03099763512493,49.090128974386026,30.055294165588386,49.814324849723484,benchmark_pur,1,bootstrap_empirique,2025,True,10000
BALANCE_COURANTE,6.374551312878751,6.78130891066575,3.21529515716617,11.312781258922309,2.6791162424108403,11.592947365318334,benchmark_pur,1,bootstrap_empirique,2025,True,10000
TACH,6.104395225276555,6.100824774481431,5.334580561611935,6.687985104437221,3.8458187346674624,7.695250193076465,benchmark_pur,1,bootstrap_empirique,2025,True,10000
FBCF,21.027071196082215,20.899948960390446,18.810025451481994,23.034091885282976,15.950276097421622,24.070123860535357,benchmark_pur,1,bootstrap_empirique,2025,True,10000
CROISSANCE_PIB,3.2954331827826246,3.257635014669948,-1.3817815622776783,7.909547127450238,-5.9623819263449205,12.209288994638163,benchmark_pur,2,gaussienne,2026,True,10000
INFLATION_CPI,0.8517604813058444,0.8696032213806786,-1.8651265740983136,3.59821466571095,-4.429610687545621,6.256470537595709,benchmark_pur,2,gaussienne,2026,True,10000
SOBG,-1.1474950172309946,-1.165151128140314,-3.927814949788562,1.5561660594010571,-6.586098367844357,4.302259463326604,benchmark_pur,2,gaussienne,2026,True,10000
DETTE_PUBLIQUE,39.74835463580299,39.74441552172473,32.993122831577104,46.54903529878971,26.35435004912332,53.07175217988551,benchmark_pur,2,gaussienne,2026,True,10000
BALANCE_COURANTE,4.431263333790052,4.516106264543956,0.3735365039834011,8.760599160738915,-3.5331772073216037,12.79490199115375,benchmark_pur,2,gaussienne,2026,True,10000
TACH,6.880603145214582,6.885920235050598,5.710970991585287,8.055597709344703,4.5924699755119915,9.203296563966688,benchmark_pur,2,gaussienne,2026,True,10000
FBCF,20.56599421345913,20.55305954652705,17.505350624740306,23.62157765648014,14.507787750783002,26.40318888052447,benchmark_pur,2,gaussienne,2026,True,10000
CROISSANCE_PIB,4.59518231772071,4.286818457414891,1.2443504107383947,5.364371065673097,-1.1604409649108551,14.85382156657359,benchmark_pur,2,bootstrap_empirique,2026,True,10000
INFLATION_CPI,1.3322668470219412,0.6999908518111746,-1.0898997658233875,2.1223950785101526,-4.331376976495571,2.7613047562905058,benchmark_pur,2,bootstrap_empirique,2026,True,10000
SOBG,-0.36130671332634545,-0.5694256609780622,-1.7358373921765011,2.0674032457916924,-4.775842311139372,2.503928237205072,benchmark_pur,2,bootstrap_empirique,2026,True,10000
DETTE_PUBLIQUE,38.72759515210656,39.231047412890874,36.186296824827046,46.24542816408814,27.2105933552905,46.9696240394256,benchmark_pur,2,bootstrap_empirique,2026,True,10000
BALANCE_COURANTE,6.063381167245218,6.470138765032216,2.9041250115326367,11.001611113288774,2.367946096777307,11.281777219684802,benchmark_pur,2,bootstrap_empirique,2026,True,10000
TACH,7.129451977759059,7.125881526963935,6.359637314094439,7.713041856919725,4.870875487149966,8.720306945558969,benchmark_pur,2,bootstrap_empirique,2026,True,10000
FBCF,19.551430392399027,19.42430815670726,17.334384647798807,21.558451081599788,14.474635293738434,22.59448305685217,benchmark_pur,2,bootstrap_empirique,2026,True,10000
CROISSANCE_PIB,3.251401454535049,3.2051083419910538,-2.4769933168746765,8.90251384428313,-8.08706012066048,14.168600644429238,benchmark_pur,3,gaussienne,2027,True,10000
INFLATION_CPI,0.6910808959394663,0.7129337003376924,-2.636412591316975,4.054786572801589,-5.777251357026775,7.310471818739023,benchmark_pur,3,gaussienne,2027,True,10000
SOBG,-1.913299423741845,-1.934923655026758,-5.318482001969533,1.3979956138443161,-8.574200984938672,4.761259426664403,benchmark_pur,3,gaussienne,2027,True,10000
DETTE_PUBLIQUE,38.14898634944039,38.144161939675215,29.875550842153388,46.47808511340533,21.74474792450905,54.46674916106675,benchmark_pur,3,gaussienne,2027,True,10000
BALANCE_COURANTE,5.041969254339122,5.145880198653798,0.07228913002537578,10.344301104926606,-4.712438451890629,15.285292806117747,benchmark_pur,3,gaussienne,2027,True,10000
TACH,8.628131052537194,8.634643131044582,7.195630070965016,10.067199618868557,5.825751687882965,11.472837904968836,benchmark_pur,3,gaussienne,2027,True,10000
FBCF,19.688981453263402,19.673139786275172,15.940473914822473,23.431291604212433,12.269224158269438,26.838055685066013,benchmark_pur,3,gaussienne,2027,True,10000
CROISSANCE_PIB,4.544646694913077,4.236282834607258,1.1938147879307617,5.313835442865464,-1.2109765877184882,14.803285943765957,benchmark_pur,3,bootstrap_empirique,2027,True,10000
INFLATION_CPI,1.1737867750161155,0.5415107798053489,-1.2483798378292132,1.963915006504327,-4.489857048501396,2.60282468428468,benchmark_pur,3,bootstrap_empirique,2027,True,10000
SOBG,-1.126921900003718,-1.3350408476554347,-2.5014525788538737,1.3017880591143198,-5.541457497816745,1.7383130505276996,benchmark_pur,3,bootstrap_empirique,2027,True,10000
DETTE_PUBLIQUE,37.113315676744456,37.61676793752878,34.57201734946494,44.631148688726036,25.596313879928395,45.35534456406349,benchmark_pur,3,bootstrap_empirique,2027,True,10000
BALANCE_COURANTE,6.6948969747543,7.101654572541299,3.535640819041719,11.633126920797856,2.999461904286389,11.913293027193884,benchmark_pur,3,bootstrap_empirique,2027,True,10000
TACH,8.874186676916205,8.870616226121081,8.104372013251584,9.45777655607687,6.615610186307112,10.465041644716115,benchmark_pur,3,bootstrap_empirique,2027,True,10000
FBCF,18.676176194528303,18.549053958836534,16.459130449928082,20.683196883729064,13.59938109586771,21.719228858981445,benchmark_pur,3,bootstrap_empirique,2027,True,10000
CROISSANCE_PIB,3.3468168267033116,3.293362144725505,-3.267763699892388,9.872159345587072,-9.745710858567419,15.952912608867651,benchmark_pur,4,gaussienne,2028,True,10000
INFLATION_CPI,-2.7486203195367,-2.723386874532972,-6.590878840725163,1.1354524364853378,-10.21760705445269,4.894793942762679,benchmark_pur,4,gaussienne,2028,True,10000
SOBG,-2.0852260980556987,-2.110195609562422,-6.0171922544148595,1.738328064577593,-9.776572716860873,5.6218905999523985,benchmark_pur,4,gaussienne,2028,True,10000
DETTE_PUBLIQUE,39.29004785347216,39.284477104918935,29.736707418961835,48.907662680436424,20.348064912502327,58.13217735720204,benchmark_pur,4,gaussienne,2028,True,10000
BALANCE_COURANTE,3.9201808145809265,4.040166837924579,-1.8183115005368238,10.042786257119747,-7.343239015373288,15.748152034612575,benchmark_pur,4,gaussienne,2028,True,10000
TACH,9.014156821522066,9.021676322080515,7.360047166871866,10.675850069829545,5.7782478604129235,12.298941355556025,benchmark_pur,4,gaussienne,2028,True,10000
FBCF,16.70486362195965,16.68657124055952,12.376459949203223,21.026111168042636,8.137265878786735,24.95990348633536,benchmark_pur,4,gaussienne,2028,True,10000
CROISSANCE_PIB,4.634579030334175,4.326215170028356,1.2837471233518594,5.4037677782865625,-1.1210442522973905,14.893218279187053,benchmark_pur,4,bootstrap_empirique,2028,True,10000
INFLATION_CPI,-2.2640601649224608,-2.8963361601332274,-4.686226777767789,-1.4739319334342493,-7.927703988439973,-0.8350222556538962,benchmark_pur,4,bootstrap_empirique,2028,True,10000
SOBG,-1.29868905461892,-1.5068080022706367,-2.6732197334690757,1.1300209044991179,-5.713224652431947,1.5665458959124976,benchmark_pur,4,bootstrap_empirique,2028,True,10000
DETTE_PUBLIQUE,38.24180646695649,38.74525872774081,35.70050813967698,45.75963947893807,26.72480467014043,46.48383535427553,benchmark_pur,4,bootstrap_empirique,2028,True,10000
BALANCE_COURANTE,5.590652081228653,5.997409679015653,2.431395925516072,10.52888202727221,1.8952170107607422,10.809048133668236,benchmark_pur,4,bootstrap_empirique,2028,True,10000
TACH,9.257857662490569,9.254287211695445,8.488042998825948,9.841447541651235,6.999281171881476,10.848712630290478,benchmark_pur,4,bootstrap_empirique,2028,True,10000
FBCF,15.693540899843363,15.566418664151596,13.476495155243143,17.700561589044124,10.61674580118277,18.736593564296506,benchmark_pur,4,bootstrap_empirique,2028,True,10000
CROISSANCE_PIB,3.305654984646055,3.2458908333370506,-4.089670865411116,10.601209708992952,-11.332235966135604,17.399698534542484,benchmark_pur,5,gaussienne,2029,True,10000
INFLATION_CPI,1.117517769318251,1.1457296184856696,-3.1782578509343624,5.460043125328367,-7.233063261839939,9.663114704664666,benchmark_pur,5,gaussienne,2029,True,10000
