indicateur,n_manquant,part_manquante,pays_concernes
SOPR,24,0.0784,TUR: 1991-1999 (n=9); URY: 1991-1998 (n=8); VNM: 1991-1997 (n=7)
SOBG,24,0.0784,TUR: 1991-1999 (n=9); URY: 1991-1998 (n=8); VNM: 1991-1997 (n=7)
RETO,24,0.0784,TUR: 1991-1999 (n=9); URY: 1991-1998 (n=8); VNM: 1991-1997 (n=7)
DETO,8,0.0261,TUR: 1999-1999 (n=1); VNM: 1991-1997 (n=7)
INFLATION_CPI,5,0.0163,VNM: 1991-1995 (n=5)
VASE,4,0.0131,PRT: 1991-1994 (n=4)
VAIN,4,0.0131,PRT: 1991-1994 (n=4)
VAAG,4,0.0131,PRT: 1991-1994 (n=4)
FBCF,4,0.0131,VNM: 1991-1994 (n=4)
BALANCE_COURANTE,0,0.0,
POP_ACTIVE_TOTALE,0,0.0,
UNFE,0,0.0,
TAUX_EMPLOI_15P,0,0.0,
TACH,0,0.0,
TAAC,0,0.0,
LFPRF,0,0.0,
OUVERTURE_COM,0,0.0,
CRDE,0,0.0,
IMPO,0,0.0,
IDEE,0,0.0,
EXPORT_MARCHANDISES_USD,0,0.0,
EXPO,0,0.0,
EVNA,0,0.0,
EMSE,0,0.0,
EMIN,0,0.0,
EMAG,0,0.0,
CROISSANCE_PIB,0,0.0,
WSWF,0,0.0,
