indicateur,constante,n_infini,plage_autorisee_registre,n_hors_plage,min_observe,max_observe
BALANCE_COURANTE,False,0,"[-50, 50]",0,-11.8598002235991,16.8597967039906
CRDE,False,0,"[-5, 15]",0,-0.548815210952228,2.8158546560368
CROISSANCE_PIB,False,0,"[-30, 30]",0,-8.20463159324387,12.3728762700496
DETO,False,0,"[0, 100]",0,13.745424044543,59.489826354739
EMAG,False,0,"[0, 100]",0,1.66649581675606,73.9942675327389
EMIN,False,0,"[0, 100]",0,7.2900726130436,36.6530412419177
EMSE,False,0,"[0, 100]",0,18.7156598542175,79.330803465223
EVNA,False,0,"[30, 100]",0,62.919,82.3829268292683
EXPO,False,0,"[0, 300]",0,13.673802849848,121.311393650836
EXPORT_MARCHANDISES_USD,False,0,"[0, 10000000000000]",0,1598000000.0,404824000000.0
FBCF,False,0,"[0, 60]",0,12.3532722105302,43.5859632404831
IDEE,False,0,"[-50, 100]",0,-6.62564746176161,21.9534625057579
IMPO,False,0,"[0, 300]",0,16.6348815592789,100.597080255106
INFLATION_CPI,False,0,"[-20, 200]",0,-1.71033727851111,105.214986469202
LFPRF,False,0,"[0, 100]",0,19.584,74.622
OUVERTURE_COM,False,0,"[0, 500]",0,30.4760116733895,220.406788982074
POP_ACTIVE_TOTALE,False,0,"[0, 2000000000]",0,1162715.0,56703936.0
RETO,False,0,"[0, 100]",0,11.594250931371,56.529742024035
SOBG,False,0,"[-30, 30]",0,-11.642816597438,7.9548775515994
SOPR,False,0,"[-30, 30]",0,-8.7051374288059,7.7695822642231
TAAC,False,0,"[0, 100]",0,47.706,83.163
TACH,False,0,"[0, 60]",0,0.999,16.661
TAUX_EMPLOI_15P,False,0,"[0, 100]",0,39.556,76.582
UNFE,False,0,"[0, 80]",0,0.905,21.175
VAAG,False,0,"[0, 100]",0,0.806945931238911,40.4891339773424
VAIN,False,0,"[0, 100]",0,16.8783176860769,48.5303176049683
VASE,False,0,"[0, 100]",0,35.7164274446921,69.3270627679964
WSWF,False,0,"[0, 100]",0,14.5113169528782,94.6156960962222
