variable,F1,F2,F3,F4,F5,F6,F7,F8
BALANCE_COURANTE,0.05503471115889401,0.4362988278313354,0.26448820743942664,0.024503110376569746,0.14847939692218612,0.020149746842904926,0.04945591808384698,0.001590081344836218
CRDE,0.48583471676620693,0.05684974282491127,0.1701297603922029,0.18270976999411792,0.03719385226716663,0.0025009701803775856,0.0019203136950411465,0.06286087387997562
CROISSANCE_PIB,0.7933361816241717,0.07813490985141162,0.001933968231792873,0.01978621047063886,0.03647052103899352,0.06882149411378778,0.0003871538983319964,0.0011295607708712355
DETO,0.2717241084113161,0.2868415837276692,0.04960055582903186,0.3013577954517118,0.057462208687399305,0.015668170708788644,0.012285434575073657,0.0050601426090092876
EMAG,0.4878894041528026,0.331723959058053,0.035658585463465446,0.09147324495571894,0.0002801902291326869,0.04680961798738224,9.69345365824107e-05,0.0060680636168629195
EMIN,0.0017555690972566344,0.051425854261815666,0.49325218260567355,0.020640999458963635,0.3277206181779018,0.05557718896076557,0.03078309918840383,0.01884448824921926
EMSE,0.5487042290150215,0.31571151405884706,0.0005964621110655746,0.08340480492079938,0.01629921042080468,0.029844526502559237,0.0030512644293630756,0.002387988541539656
EVNA,0.2649170261811775,0.35753242111557293,0.07225654332346725,0.08290725816948306,0.004627981863060041,0.15662411292877734,0.01850872832742573,0.04262592809103595
EXPO,0.511392750684742,0.3526020074180139,0.08195416927725431,0.02296169396340867,6.177165187682124e-06,0.006346581932458914,0.024631752380628216,0.00010486717830648391
EXPORT_MARCHANDISES_USD,0.42727622008303434,0.142227250908409,0.28349159531206525,0.049234742640250725,0.003713004928853546,0.09389794225414752,0.00013942406629218005,1.981980694787506e-05
FBCF,0.681400939304395,0.04159507364799259,0.06673360068042708,0.05797865128067791,0.006278996476622267,0.00034930155208723524,0.14162001209052968,0.00404342496726799
IDEE,0.1759646949095997,0.08241792927427083,0.29340541515275853,0.3259201162229549,0.010469658160249402,0.014705108879647835,0.0970527517846351,6.432561588348335e-05
IMPO,0.6428129701524358,0.23728092573940857,0.03846271944355482,0.01532336888281,0.013938954797766285,0.03336944011495827,0.01596955983654763,0.0028420610325186925
INFLATION_CPI,0.025132280131133656,0.3006541747423774,0.018518267690085067,0.09551613429863519,0.00010481978289498647,0.4868849446029093,0.07262649033994384,0.0005628884120206819
LFPRF,0.0763951184024739,0.49084473514817767,0.35310047877551026,0.05514832683494859,0.005555752735846623,0.009138025682624281,0.0028190896544278486,0.00699847276599083
OUVERTURE_COM,0.5779658078490736,0.30090463717929017,0.060775154060180865,0.019528010505701136,0.002843415311407636,0.016364964715516614,0.020702454651041143,0.0009155557277891695
POP_ACTIVE_TOTALE,0.6376451895309008,0.054936152384335614,0.02326010463293376,0.2096838199713552,0.009928448126936088,0.05238290183024181,0.011339495694261476,0.0008238878290358195
RETO,0.25914671088861285,0.28682334327380626,0.06240008193985372,0.34821451527306296,0.01694928699650771,0.003819950019483323,0.018837557428576866,0.0038085541800967006
SOBG,1.0133738287847677e-05,0.2515549201570566,0.00017309473871143164,0.028562080524799482,0.6137724791888833,0.00021201605987102758,0.09261475556849348,0.013100520023896568
SOPR,0.3293873261608152,0.0005553802591931158,0.07298254405356974,0.12253638363769227,0.4252536117978588,0.030864250835078755,0.0006847353267000282,0.017735767929093007
TAAC,0.0084640353988853,0.577604841815741,0.31847619901446156,0.0740670015319647,0.0027766636452739393,0.003701980925972587,0.008696442827491756,0.006212834840209452
TACH,0.5483707728660491,0.4083085718901864,0.01882019020657408,2.353373906781377e-05,0.003247589539781477,0.009699544488459829,0.0018356609191751345,0.009694136350706472
TAUX_EMPLOI_15P,0.33017156636674383,0.38248244851618357,0.2532534167728382,0.015813150927049147,7.760762630781205e-06,0.008375767926974984,0.009355804063089026,0.0005400846644901061
UNFE,0.5997709352829294,0.36023833060224675,0.0008738809637502139,0.010396584983288343,0.010227239550235832,1.0786039956816877e-05,0.0022282861003169283,0.01625395647727583
VAAG,0.7140628019302759,0.16451228319184663,0.04905439812673889,0.01948306341609888,0.0021457735459266486,0.015218512767084351,0.03165392866415883,0.0038692383578699838
VAIN,0.700225015474731,0.011562177825808626,0.11284947749938923,0.0452863190928929,0.01679313839556741,0.04534552739336538,0.0049042565506475025,0.06303408776759785
VASE,0.8107225036060207,0.10894475690868823,0.009892435024758497,0.011254046609715839,0.014972235654469222,0.007872217514975122,0.027936972458566182,0.00840483222280639
WSWF,0.4864508822553488,0.2934579069228975,0.10261648227169579,0.09406743681951858,0.0014944418117133038,0.020667250562636404,1.6896095873226484e-05,0.0012287032603166784
