variable,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
BALANCE_COURANTE,-0.1540074660900589,0.4769528729253199,0.22948919609290305,-0.20191951979981396,-0.047632567720716654,0.6287767070136907,0.37578227449284896,-0.09820143899612038,-0.03713815211158729,0.1476803027383509,-0.0029798198564992178,-0.22078671752035392,0.016189807907959413,0.10434948020177887,-0.018905412132606467,-0.13165203364348002,0.01509347954525296,0.07220791035948533,-0.004266271582088713,0.02180417442264607,-0.008036838211182385,0.0015745939812044595,-0.00476822434388102,-0.008113892493173883,-1.0330875541797304e-05,-1.858762198188897e-13,-2.849205149182079e-17,5.050140102693729e-18
CRDE,-0.6663103163857805,-0.22294863000402074,0.460412175325235,0.06088349190686627,-0.3033783936605487,0.031826055792555236,-0.03268383004912842,0.24851715879092837,-0.0013110778431903742,-0.10569064117708417,-0.07697683377382186,-0.07724666533792274,-0.04240749888574266,0.06617455763594084,0.32440877418364616,0.010844231576799724,0.004984881192828172,-0.008192825124051442,-0.004225325099141397,0.0012981354931679984,0.00011655627277529777,-0.0029193906210595887,-0.004714873515522958,0.0013076255706857113,0.003622994926263494,3.042138021293014e-14,-5.445275329273303e-19,-3.2604211731852205e-17
CROISSANCE_PIB,-0.49419693807718623,-0.10597649266848966,0.1260535096543589,0.419026689300141,0.031545423930835995,-0.23843343277162377,0.07713528622587719,-0.047202872306195215,0.5138782175391283,0.4649518400924553,0.003988269567276491,0.04796886448857556,0.05350769300277457,0.006925842564126112,0.03066319584757496,-0.023657035603784397,-0.002144206060932354,-0.0011352336998547781,0.0057640535089076095,0.00010597236915202249,-0.004566967138619667,-0.001526364477017473,0.00022625880524544377,-0.0008274999089114522,-0.00010000453527722703,1.2671096798307352e-14,-6.659959654131181e-17,-2.9098733861674133e-17
DETO,0.547222831893284,0.43824473152445215,0.07955095240210348,-0.23721794168021207,0.5792010274315056,0.04670903719503542,-0.17193038282149736,0.08881519215507025,-0.0767856379282305,0.1986917907442088,-0.09986947590676798,-0.06137344324505378,0.029297793922768357,0.028328302860733335,0.06047914620486999,0.07771073007175944,-0.013319434193265959,0.003880217892196252,-0.0014052220961072205,-0.0008754787085801266,0.004468907064469041,0.009252228193523863,0.0031298803609201725,-0.0008540262615737243,-0.0005879753723489587,4.084415993283283e-14,-1.555661536025035e-14,-3.298547854742889e-17
EMAG,-0.6700289189082755,-0.5572064510946665,-0.3534051441338663,-0.049875807607364764,0.17551674229265435,0.22740279514301384,-0.06899715372947272,-0.010393178895012511,-0.021085638468263876,0.04124470777324043,-0.10163121495611688,-0.011032799032103944,-0.05716544832576673,-0.0031238088889677714,-0.001823716340617204,-0.02063999500394614,0.00029097445578200615,-0.06285359648387441,0.04269665982996936,0.060088397185168785,-0.0066109120653680175,0.0054671388687461886,0.0025249029973042824,0.006657138008413645,-0.000859469590779783,7.893409812393713e-07,1.8125812028282444e-17,4.36699741788715e-17
EMIN,-0.21843402258884143,0.19633736729041726,0.6165854049888512,-0.22843489069134393,0.23073084664215515,-0.4619602267457294,-0.18249193563280952,0.009509528575704343,-0.09245314327371079,0.00158180319291424,0.3690078548529099,0.06293649178051391,-0.062355363969689916,0.1237326798956775,-0.016026866320821103,-0.06820913622323518,0.08597850305493313,0.027389578523354628,0.007055212809494239,0.011792284937459638,-0.01426096506300561,0.001704957290459642,0.004000610079994194,-0.0008540241327219728,-0.0009494545009370748,2.4958011856378613e-07,3.404924544670839e-17,1.2039449148531725e-17
EMSE,0.7625202310339907,0.5108196512986393,0.16347013398998372,0.12597425215910102,-0.25634611988607825,-0.0839144186445732,0.13071457530768082,0.007620515254731545,0.05191290568202036,-0.043067901977446636,-0.015521405241345838,-0.009148086096293966,0.0793181630543651,-0.037139944198553466,0.007109646214742527,0.04354458199106926,-0.028347125819857825,0.05591090622106386,-0.046351219303624756,-0.06583956697758149,0.011472438257870924,-0.006196549480575268,-0.003910114088667028,-0.0065895393422468135,0.0011963039313700199,7.650925298753206e-07,-1.2592329241660559e-17,9.86376671720581e-18
EVNA,0.5453687076800693,0.5631877094197137,-0.10190770323259812,0.04603912262965094,-0.28037165349855614,-0.31253718943901565,0.15969217466204969,-0.04601091149687123,0.11975462973917317,-0.11147131912522588,-0.26687770432882674,0.014941942948786542,-0.03144914665754026,0.2308795187576944,-0.04110198092223893,0.07696922068443023,0.05868693677543635,0.003954534597439984,-0.018670300620039833,0.06864829767287628,-0.0137398363698992,0.005675810678819943,0.009120391940245276,0.002927110343353533,-0.005069445638034192,-1.050422234008532e-14,-3.625194337339925e-17,-2.7184232747833766e-17
EXPO,-0.6475075458738985,0.6227295733609208,0.274292635630369,-0.12226510748006947,-0.14265913274064396,0.17345435129211562,0.03337957885172507,-0.03980477941984474,-0.08431891142963147,0.08057048677044559,-0.07146457095542061,0.161724026023316,-0.003561056551130493,0.018208094883803417,-0.019683594804948856,-0.014736481560669116,-0.02571509681764367,-0.0112035797436305,-0.0041733997569970895,-0.032944365582950635,0.007504220233202069,-0.007048354095489031,0.027962417173606775,0.03209849408432883,0.000551583162851912,7.740831739075599e-13,7.154559722293628e-17,-1.523921042537065e-15
EXPORT_MARCHANDISES_USD,-0.38669316122944447,0.4680791006180216,0.1848781070217587,-0.3677491524916499,0.15562875406581803,-0.22762697829427558,0.3710515401196177,-0.3647700147743769,0.11345177375101181,-0.09137810418005977,0.02487789877626177,-0.0771096138537256,-0.16703830411039344,-0.22251412785882138,0.06295504785549856,0.06556815987773369,-0.011840626225288699,0.009295510080959458,-0.0007517362824037554,0.020521917451532083,-0.02519691289405,0.020447361354866717,-2.599561578857471e-05,0.0038337199460332996,0.0011507697385964447,-6.424724954310798e-14,1.480199441148526e-17,-1.4804848418539168e-17
FBCF,-0.6967661829318191,-0.10287722291413812,0.14769369631787502,0.10079616858594342,0.3481487487358514,-0.3311749612805556,-0.25292088590197237,-0.10603710688780768,-0.010758161945745259,-0.18213798484265564,-0.27194538925076106,-0.015071506033979958,0.16031952180629117,-0.04645556181788164,-0.007592091857794634,-0.12773683185904816,-0.06736519836302446,0.0870884723623907,-0.03601457222776118,0.02522441692148656,-0.009801076837133728,-0.0008435183398683111,0.0002738278992439535,0.0017549921480596816,-0.0008147626128875287,1.501664911224439e-13,1.4242998416659282e-17,-4.286821368951612e-17
IDEE,-0.12542224507840488,0.13290181122732697,-0.13446032792030907,0.4894540690573752,-0.3954497209753527,-0.30659066289460907,-0.19873277586797874,-0.3286224088241254,-0.4290434337731382,0.28797108761978313,-0.05722124448348106,-0.18451595704648324,-0.07294580905505951,-0.0277940912632139,0.018983044304855607,0.0058743119377961135,0.01309607472907564,0.007548842153040273,0.006997367782987646,-0.0017063287174716882,-0.000706258387186588,0.00040664050817924396,-0.0004917654898729972,-0.0001207477060140163,-7.199037489354693e-05,-1.28683498334177e-13,-2.259467638954213e-17,7.905064605509902e-18
IMPO,-0.7433495013582625,0.5240201664342302,0.20019725579590475,-0.10482349004654008,-0.08795048449074802,0.08100774792223049,-0.10638160140362525,-0.003037625406765368,-0.07400517007592387,0.05161141298009496,-0.1503236608340218,0.24031225689238195,-0.032337322839938135,-0.034205081819693596,-0.03227995152934134,0.011469848690450528,0.030025704787255043,-0.03788540910012525,-0.00979380988739578,0.005734381104713921,-0.0020438348851004825,0.009273511736789091,-0.026657142493783054,-0.03161679012847902,-0.0008275168752742105,-6.183493282307011e-13,2.3202804411684544e-17,-1.3033312956660881e-15
