variable,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
BALANCE_COURANTE,0.26751858909400195,3.80575864630997,1.9496881517104017,1.915690566889662,0.12498615698200628,26.3796940114646,12.818013670501207,1.1114241407523417,0.21680914374266222,3.9392983018102483,0.0018600399562786279,12.969457496553197,0.09436845785170289,5.144987257746416,0.22008915363141024,15.786717830743235,0.30588085023025596,8.548591847275683,0.05492338345612672,1.6206393719304601,0.3332406437552687,0.022771268496465557,0.45164810197555394,1.9159385443199333,4.372818121034051e-06,2.7183359199696832e-12,7.87935994861039e-28,0.0
CRDE,5.007529187412282,0.8315721202762814,7.847553096090951,0.17416779642981559,5.070178187919236,0.06758378388151798,0.09696478438507086,7.117981940471026,0.0002702053656803725,2.017654433514343,1.2412588021263569,1.587579219237754,0.6474836181450793,2.069120659572055,64.80544924196869,0.1071110480909512,0.03336438866201936,0.1100505957677127,0.053874164206483124,0.005744432614449344,7.009044474758621e-05,0.07827705301765621,0.4415978204491937,0.04976109008032391,0.5378022398701816,7.27344158441121e-14,4.093821265572367e-27,3.472520492234693e-30
CROISSANCE_PIB,2.754675935264383,0.18789247582410143,0.5882345745616299,8.249965311127736,0.054818438927981133,3.793247381804478,0.5400753300756834,0.25679169553829373,41.510448998597916,39.04717892714062,0.0033320481084116614,0.6122020798893796,1.0308035831760372,0.022664646700236334,0.5789768184979288,0.5097501348350569,0.006173146535483145,0.002112980931465776,0.10025736689553598,3.8281802450778956e-05,0.1076076846020231,0.021397673198270597,0.00101694580033955,0.019927783008248063,0.0004097571561761082,1.2884500697111273e-14,6.028787817242085e-30,7.123177698002044e-30
DETO,3.3775270272687417,3.213096078895116,0.2342779581238343,2.64401441002617,18.480451389486166,0.1455722834911719,2.6832022491749674,0.9091146192946373,0.9268234344930457,7.1307230426511605,2.0893336338394572,1.0021596279677047,0.3090390115088053,0.3791794891566578,2.252359163563526,5.500455816479611,0.23820183381226204,0.024685234429294153,0.005958682249659635,0.002612752474292585,0.10303627741437044,0.7862175266271917,0.19459976085025626,0.02122587134048193,0.014164636261660687,1.3097848224105887e-13,47.33152699176386,0.00044119735573438775
EMAG,5.063578061595745,5.194246744138762,4.623665386789874,0.1168822688459461,1.6970358879757033,3.4503921808181395,0.4321261020431068,0.012449185195836885,0.0698892732832796,0.30726294067671595,2.1636972283560487,0.03238525636935464,1.176550828190745,0.004610761266960471,0.00204805172363988,0.38802157844326535,0.00011367979370417993,6.477169978232393,5.5010816309442125,12.308023869051999,0.22548116723291337,0.2745176426111178,0.1266415519146057,1.2897282034811477,0.030265523182130796,49.032135017842705,2.2800843004821515e-16,2.921594267939982e-18
EMIN,0.5381594635107836,0.6449057229300632,14.074311024876348,2.4518484746592146,2.932683845890739,14.239214605723891,3.0229816030291548,0.01042226466992353,1.3436321134706593,0.00045193774735860287,28.524200178454883,1.0538553050631025,1.3998809491855273,7.233901018748826,0.15816980192087873,4.23761797368176,9.925520863430753,1.2299734209855573,0.15020366267516894,0.47402693476112057,1.0492653836778665,0.026697897330695945,0.3179356865750467,0.021225765520139765,0.03693477606553631,4.90197932541491,2.2794751917671616e-17,2.9208085746872484e-19
EMSE,6.558026330672716,4.3654146048154,0.9892760621958325,0.7456453759678242,3.6199904440914343,0.4698400609063549,1.5509442298726328,0.006692876259926981,0.423630957037726,0.3350280370223678,0.05046663287632991,0.02226570297147473,2.2651072058423134,0.6517577697636856,0.031125928975792607,1.7270501711470223,1.0789258793902388,5.125285838243177,6.483098393203214,14.776821331242907,0.6790456502554028,0.3526548767561908,0.3037146120693235,1.2636685785172534,0.058636793715506216,46.06588565618802,2.1421583845652675e-16,2.7447560136710313e-18
EVNA,3.3546780338188364,5.306359157326164,0.3844631240969722,0.09959162727400546,4.330341363660744,6.517488424828197,2.3148103691566306,0.24398649936825936,2.2543515262514995,2.2443986659484256,14.919931881418297,0.059400496133039105,0.35609116438832583,25.186889709200276,1.0402838310524578,5.395986830097713,4.624411057342328,0.02563986811839337,1.0518720330798739,16.06447861558297,0.9739813359942191,0.2958733517598387,1.6523948486275177,0.24934534508485856,1.052950840390105,8.525684195402748e-15,2.4610616261483145e-27,1.9099753677925404e-29
EXPO,4.728899477957375,6.4876779931720945,2.7852806267074244,0.7023827210674811,1.1211225465886236,2.0074616712048092,0.10113695054503834,0.1826057990168322,1.1176015490752749,1.1725346776754317,1.0698523264034647,6.958650319966971,0.004565635193337466,0.15665084401360832,0.23858062631848154,0.19779910054113012,0.8878710083318941,0.20579681420293366,0.05255817293877815,3.6997245191078214,0.2905351321892887,0.4562737438419167,15.532317144028246,29.984194873832593,0.012465484315730063,4.714401971707869e-11,0.00018498627707555485,19.845275255439187
EXPORT_MARCHANDISES_USD,1.6865662195070221,3.665462711289616,1.2653528124459805,6.354364339700572,1.3342389317741499,3.457198614975799,12.497312396044139,15.334950684066891,2.0232967936735404,1.5081967754450936,0.1296491419307125,1.5819508320084767,10.045593734412591,23.3947766975869,2.4405485892230434,3.9158197611045122,0.1882447580248651,0.1416679079175183,0.0017052627702187112,1.4356314480626644,3.2755345347563294,3.8399413771339734,1.3424157756351577e-05,0.4277242220640908,0.054258029923107985,3.2423662151750955e-13,1.3210867677049274e-27,4.444011531709143e-29
FBCF,5.475761742088365,0.17706338768575025,0.8075410024347277,0.47737184349117784,6.67703426422274,7.3179906836174435,5.806541543937155,1.2958653039100039,0.01819337067473168,5.992040987878515,15.491934556932952,0.06043509764970287,9.253718494759974,1.0197158192326559,0.035493534548324594,14.861716873933991,6.093190180252182,12.435016710977319,3.913963832112346,2.168949111131072,0.4956043405127066,0.006534902450127956,0.001489505864077918,0.08963413500464301,0.027198774695457,1.7741048947784542e-12,1.404090875875781e-27,7.384522749180808e-30
IDEE,0.17742693707246954,0.29549633849045787,0.6693125916848933,11.25622169141793,8.614626932296018,6.271836275980741,3.5849833783790572,12.44624860861787,28.936069070400368,14.978609347104872,0.6858937597977468,9.058239202146032,1.9157734806205282,0.3650132938553935,0.2219003894278827,0.03143045816159814,0.23027979640104745,0.09342986402072254,0.14775074825790013,0.009925045135793195,0.0025734441656486903,0.0015186976778078488,0.004803999184346678,0.00042430764197214294,0.00021234205954836707,1.3018975756498212e-12,1.0405350762568053e-29,7.453779476003005e-30
IMPO,6.2324172846163375,4.5939504432332985,1.4837369200655641,0.5162808087529783,0.4261185102196832,0.43785466494010866,1.0272619361984614,0.001063438931333141,0.8609167052558095,0.4811330815446672,4.733658692881744,15.364830334104374,0.3764883925627358,0.5528215835307103,0.64164097424397,0.119826280821112,1.2104865499180302,2.3532550029751924,0.28944338306088896,0.11209343958288442,0.02155158068351707,0.7898388686442132,14.116076883477296,29.090998577036814,0.02805697679146337,3.008314147035515e-11,0.00013178695316741934,14.138066898943528
INFLATION_CPI,0.026359671773942363,1.4658926100853014,0.011481240519194452,0.13808380265744558,0.6777815490220079,12.135306033830362,38.26182869665083,18.92077209011908,12.747732666728155,2.8844744362334036,1.6181386212104834,0.43723413226011826,4.838568438633977,1.9485585423245133,0.08129043445673384,1.350262443951214,0.5916188799739642,1.2006496978600103,0.17263619260940574,0.01000905700623461,0.3912355719982984,1.4746288448726892e-07,0.06940757209413496,0.009341102286683847,0.011336368251074029,4.663195597276227e-13,3.2139332624064778e-28,6.260591873257247e-32
