variable,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
BALANCE_COURANTE,0.02371829961148064,0.22748404299171635,0.05266529112336691,0.040771492476187464,0.002268861507668658,0.39536014728298063,0.14121231782301888,0.009643522620908753,0.0013792423422633953,0.021809471816890972,8.879326377187018e-06,0.04874677463341256,0.00026210988009662514,0.010888814018381439,0.0003574146079037038,0.017332257962463994,0.00022781312478296952,0.005213982318483469,1.820107321213773e-05,0.0004754220222531731,6.459076843272128e-05,2.47934620564531e-06,2.273596339357958e-05,6.583525139078348e-05,1.0672698946010574e-10,3.45499690941602e-26,8.117969982125672e-34,2.5503915056835425e-35
CRDE,0.44396943772211894,0.04970609162066974,0.21197937118771493,0.0037067995867734503,0.09203844974005486,0.0010128978273108388,0.00106823274668031,0.061760778213515506,1.7189251109047235e-06,0.01117051163242316,0.005925432937842602,0.0059670473058290345,0.0017983959617442651,0.004379072078312456,0.10524105276733593,0.00011759735849126022,2.4849040506612017e-05,6.712238351328852e-05,1.7853372193434255e-05,1.6851557586225224e-06,1.3585364723269619e-08,8.522841598330692e-06,2.2230032267379817e-05,1.7098846331111322e-06,1.312609223573102e-05,9.254603740596574e-28,2.9651023411592477e-37,1.063034622655449e-33
CROISSANCE_PIB,0.24423061360486625,0.011231016998314441,0.015889487296181556,0.17558336634583688,0.0009951137709761602,0.05685050186326043,0.005949852381147999,0.0022281111539549712,0.2640708224611917,0.21618021360536016,1.5906294141263812e-05,0.0023010119603233256,0.0028630732104791704,4.796729522306095e-05,0.0009402315795867382,0.0005596553335587226,4.597619631739041e-06,1.2887555532859684e-06,3.3224312853550126e-05,1.1230143023692527e-08,2.0857188845231906e-05,2.3297885167008236e-06,5.119304695109565e-08,6.847560992484616e-07,1.0000907076014146e-08,1.605566940720748e-28,4.4355062594655123e-33,8.467363123525408e-34
DETO,0.2994528277453054,0.19205844470893915,0.006328354028081734,0.056272351854996495,0.3354738301777117,0.0021817341556872026,0.029560056537146634,0.007888138357542053,0.00589603419204531,0.039478427709140465,0.00997391221789251,0.0037666995357538377,0.0008583607287410025,0.0008024927429694324,0.00365772712567004,0.006038957568285857,0.0001774073272287424,1.5056090890919924e-05,1.9746491393879705e-06,7.664629691771263e-07,1.99711303508613e-05,8.560372654503785e-05,9.79615107367379e-06,7.293608554575914e-07,3.4571503848889657e-07,1.6682454006188267e-27,2.420082814667771e-28,1.0880417950028915e-33
EMAG,0.44893875217339246,0.31047902914151293,0.12489519590027882,0.002487596184486865,0.03080612682502604,0.05171203123885552,0.004760607222768492,0.0001080181675437335,0.00044460414961432936,0.0017011259192999994,0.010328903853456434,0.00012172265448279372,0.0032678884822859057,9.758181974794063e-06,3.325941291034205e-06,0.0004260093937629216,8.466613391763466e-08,0.00395057459095771,0.0018230047606361194,0.0036106154762826,4.3704158336028425e-05,2.9889607410155354e-05,6.375135145796149e-06,4.4317486463065586e-05,7.386879774751677e-07,6.230591846639335e-13,3.2854506168462855e-34,1.9070666447833035e-33
EMIN,0.04771342222434249,0.03854836179453221,0.3801775616452656,0.05218249928516625,0.05323672359220572,0.21340725109496572,0.033303306571009494,9.043113373213748e-05,0.008547583701189295,2.5021013411136844e-06,0.1361667969431462,0.003961001997638695,0.0038881914157925033,0.015309776074166196,0.00025686044406546976,0.004652486264319854,0.007392302987567145,0.0007501890116870091,4.977602778725159e-05,0.00013905798404623745,0.0002033751245282666,2.9068793622914843e-06,1.6004881012151153e-05,7.293572192715179e-07,9.014638493496697e-07,6.229023558231354e-14,1.159351115490192e-33,1.4494833580008127e-34
EMSE,0.5814371027361306,0.2609367161528634,0.026722484706703232,0.01586951220704477,0.0657133331806476,0.007041629656456695,0.01708630019786736,5.807225274759619e-05,0.0026949497763503415,0.0018548441807389518,0.00024091402066607804,8.368747922520696e-05,0.00629137099031885,0.0013793754550716652,5.054706929880275e-05,0.0018961306207769533,0.0008035595422468502,0.003126029434460597,0.0021484355309327164,0.004334848579795439,0.00013161683958066043,3.839722546521762e-05,1.5288992186392382e-05,4.342202874301857e-05,1.4311430962113652e-06,5.853665792710183e-13,1.5856675573037958e-34,9.72938938514571e-35
EVNA,0.29742702731662884,0.31718039604142395,0.01038517997814329,0.002119600812508037,0.07860826408551443,0.09767949478243916,0.025501590648294582,0.0021170039767729174,0.01434117134396646,0.01242585498751795,0.07122370906782466,0.00022326165908479186,0.0009890488254874759,0.05330535218178457,0.0016893728357320927,0.005924260932768522,0.0034441565480840632,1.5638343882349813e-05,0.00034858012524265975,0.004712588773383831,0.00018878310347160483,3.22148268618065e-05,8.318154914369098e-05,8.567974962167236e-06,2.5699279076983896e-05,1.1033868696994752e-28,1.3142033983481459e-33,7.389825100883977e-34
EXPO,0.4192660219636387,0.38779212153827447,0.07523644996105437,0.014948756507112939,0.020351628154312674,0.03008641198216865,0.0011141962843185316,0.0015844204646624953,0.007109678824678035,0.006491603338426548,0.005107184901842347,0.026154660593190195,1.2681123760349402e-05,0.00033153471929758815,0.0003874439044454096,0.00021716388878794088,0.0006612662043407877,0.00012552019907188764,1.7417265531703365e-05,0.0010853312236631023,5.631332130839931e-05,4.9679295455397e-05,0.0007818967741908191,0.0010303133224816928,3.0424398554171884e-07,5.992047601268016e-25,5.118772481986627e-33,2.322335343887255e-30
EXPORT_MARCHANDISES_USD,0.14953160094162113,0.219098044435376,0.03417991445594886,0.13523943915832679,0.02422030909207887,0.051814041247382606,0.1376792454251403,0.13305716367849915,0.012871304967250773,0.008349957923541857,0.0006189098475219268,0.005945892548670671,0.027901795040076283,0.04951253709677191,0.003963338050488114,0.0042991835897520465,0.00014020042940699452,8.64065076652189e-05,5.651074382822187e-07,0.00042114909588749706,0.0006348844193903431,0.0004180945863764968,6.757720402271948e-10,1.4697408624613565e-05,1.3242709912693297e-06,4.127709073854388e-27,2.1909903855764086e-34,2.191835366959217e-34
FBCF,0.48548311367737723,0.010583722994525264,0.021813427932036687,0.010159867601605928,0.12120755124633899,0.10967685497917752,0.06396897452543852,0.011243868037136352,0.0001157380484508814,0.03317424552254346,0.07395429473474795,0.00022715029413229428,0.02570234907219787,0.002158119223815022,5.7639858777191586e-05,0.01631669821338674,0.004538069950489634,0.007584402018414889,0.001297049412748627,0.0006362712090289775,9.606110716739928e-05,7.115231896941917e-07,7.498171840435673e-08,3.0799974397511356e-06,6.63838115359313e-07,2.2549975056027022e-26,2.028630038969588e-34,1.8376837449300172e-33
IDEE,0.015730739560507457,0.017662891427504053,0.01807957978443705,0.2395652857168218,0.1563804818194843,0.09399783457415582,0.03949471620419227,0.10799268758137062,0.18407826806384522,0.08292734730492081,0.0032742708202383114,0.03404613840477965,0.0053210910586972025,0.0007725115091478631,0.0003603559710801109,3.450754074253393e-05,0.00017150717330953358,5.6985017851517706e-05,4.896315589039345e-05,2.9115576920685763e-06,4.988009094714004e-07,1.6535650289227378e-07,2.4183329703002894e-07,1.4580008507647306e-08,5.182614077313432e-09,1.6559442743522137e-26,5.105194011481325e-34,6.249004641728542e-35
IMPO,0.5525684811695775,0.27459713482975834,0.040078941228210915,0.010987964065537087,0.007735287722157308,0.006562255223431638,0.011317045117199801,9.227168111826467e-06,0.005476765197966418,0.0026637379498019144,0.022597203006542017,0.057749980812710176,0.0010457024484543844,0.0011699876222919334,0.0010419952707366265,0.0001315574289818297,0.0009015429479713904,0.0014353042226838532,9.591871211045135e-05,3.2883126654100046e-05,4.177261037553703e-06,8.599801993236503e-05,0.0007106032459338542,0.0009996214180282882,6.847841788635932e-07,3.8235589172335934e-25,5.383701325668877e-34,1.698672466262644e-30
INFLATION_CPI,0.0023370585009139405,0.08762173551315702,0.000310133122504901,0.002938826770062391,0.012303702300451124,0.18187536135840357,0.42151940646121233,0.1641703531224462,0.0810953466181975,0.01596956084657665,0.0077245549982732815,0.001643380512483579,0.013439200153961007,0.004123915280714153,0.0001320119064401193,0.0014824548868552167,0.0004406243333834431,0.0007323038001082836,5.7209949260653495e-05,2.936202961108462e-06,7.583170512701116e-05,1.6055826806146513e-11,3.4939768626655985e-06,3.2097784093035516e-07,2.7668574849683756e-07,5.9390297489266424e-27,6.941245109358582e-34,1.4809282019964031e-33
LFPRF,0.004124093833548605,0.5857083826523275,0.3642867107054589,0.007569292680701413,0.002012716675191008,0.000465807320359191,1.4322066008507858e-06,0.0006684001179456946,0.00043998570993103025,0.00040844345991999275,0.013421279718135695,0.006551901277838622,0.0071096704202217005,0.0007249884759785566,0.0036455007559719685,0.0002210058123480984,8.76166732387592e-05,3.962531659803931e-06,4.5751352021528454e-06,0.00044052745273216287,0.0005654990336791731,4.463201481957994e-05,3.044213131151673e-06,4.189307964759661e-06,0.001486341815093965,2.242812222923983e-24,1.6456208227275684e-34,1.8537029867737054e-33
OUVERTURE_COM,0.4886319546826896,0.3409816397213462,0.05906679224221799,0.013350818602180781,0.014141731213703134,0.01758026023338334,0.0009566307608305519,0.0005396342806010945,0.006476787268373708,0.0046321617770857465,0.01182636181206866,0.039952582347035484,0.00028619912802851607,3.417709484868077e-05,0.0006620630591317664,7.68280425232446e-06,4.160047538724513e-08,0.0005605156267266626,4.651989987209651e-05,0.0002374404270430873,1.004001560762791e-05,1.823888047659686e-07,8.970152340914386e-06,8.806376004278836e-06,6.485346761126908e-09,1.9169144951597384e-26,9.033350637348734e-33,7.148720495587847e-30
POP_ACTIVE_TOTALE,0.5158216027300995,1.6956049505036846e-07,0.1322130307309938,0.05761091012850199,0.10258567235522552,0.0524466894337811,0.04095045767339022,0.060434039320743746,0.0002750634039257859,0.003099258128214357,0.004439746775451214,0.0009212416147555583,0.00372021588845614,0.014742320538801985,0.000932188609366911,8.963152948402098e-06,0.00023719994187334706,1.3888926181859036e-07,0.0006039080619743485,0.0017048304611776166,0.004839066263368311,0.0023450092717490338,3.9091530347070793e-05,2.916275499203928e-05,2.2780104816106057e-08,1.4478767142847646e-26,1.188267049827057e-35,7.195569652734303e-33
RETO,0.2624545126352924,0.2333877911698187,0.02000419856173049,0.001145063805915387,0.40422938524646,0.00790847123971877,0.017957958088317707,0.0019548339216363163,0.004870440481233874,0.017456689388480287,0.012361956505352954,0.004265913489268167,0.002443507113474404,0.0005023421386654816,0.0034184371452795352,0.004944991137851118,0.0002510855513280896,6.477411658563855e-05,0.00011683820946275722,0.00012387340781663445,6.65193986210141e-08,0.0001140737718674249,2.0993724929457402e-05,1.3050219452487855e-06,4.976081689014332e-07,4.298147387458909e-29,2.5332591594086884e-28,4.96051546141046e-34
