variable,F1,F2,F3,F4,F5,F6,F7,F8
BALANCE_COURANTE,-0.23459478075799983,0.6605292028603545,0.5142841699288698,0.15653469384315333,0.3853302439754582,-0.14194980395514792,-0.22238686580786865,0.039875824064666276
CRDE,-0.6970184479382213,-0.2384318410466842,0.4124678901347387,-0.4274456339631017,0.1928570773063997,0.050009700862708485,-0.04382138399276256,-0.2507207089172644
CROISSANCE_PIB,-0.8906942133101414,-0.2795262239064729,-0.04397690566414232,-0.14066346530154467,0.19097256619471165,0.26233851054274854,-0.019676226730041418,-0.03360893885369241
DETO,0.5212716263248136,0.5355759364718221,0.2227118223827192,0.5489606501851584,-0.23971276287965834,-0.1251725637222017,0.1108396796056072,-0.07113467936955425
EMAG,-0.6984908046300986,-0.5759548237996215,-0.1888348099886921,0.30244544128771217,0.01673888374810838,-0.21635530496704314,0.009845533839381727,-0.07789777671322154
EMIN,0.04189951189759416,0.2267726929368165,0.70231914583448,-0.14366975833126341,-0.5724688796588875,0.235748147311417,0.1754511304848271,0.13727522809749493
EMSE,0.7407457249387414,0.561882117582369,0.024422573801005792,-0.2887989004840555,0.12766836107980975,0.17275568442907815,-0.0552382515053027,0.04886704965045113
EVNA,0.5147009094427341,0.5979401484392672,-0.26880577248911014,-0.28793620503417605,-0.06802927210444075,0.3957576441823674,0.13604678727344402,-0.2064604758568476
EXPO,-0.7151172985495051,0.5938030038809284,0.2862763861677283,-0.15153116499060076,0.002485390349156873,-0.07966543750246348,-0.1569450616637179,-0.010240467680066371
EXPORT_MARCHANDISES_USD,-0.653663690350806,0.37713028373283547,0.5324392879118381,0.2218890322666957,-0.060934431390253785,0.30642771130259666,0.011807796843280293,0.004451944176185845
FBCF,-0.8254701322909237,-0.203948703472203,0.2583284743895397,0.24078756463048068,-0.07924011911034881,-0.0186896108062002,0.3763243442703776,-0.06358793098747584
IDEE,-0.4194814595540543,0.28708522998278896,-0.5416691011611781,-0.570894137492193,0.10232134752948381,0.12126462336414456,0.31153290642343884,-0.00802032517317617
IMPO,-0.8017561787429117,0.48711489993574264,0.19611914604024466,-0.12378759583581063,-0.1180633507815456,-0.18267304156595815,-0.126370723811125,-0.053310984163854006
INFLATION_CPI,0.15853163763468053,-0.5483194094160605,0.1360818418823212,0.3090568463869312,0.010238153295149788,0.6977714128587594,-0.26949302465916225,0.023725269482572413
LFPRF,-0.27639666858063594,0.7006031224225151,-0.5942225835286894,0.23483680894388892,-0.07453692196386046,0.0955930210979038,-0.05309510009810556,0.08365687518662665
OUVERTURE_COM,-0.7602406249662494,0.5485477528705137,0.2465261731747379,-0.13974265814596892,-0.053323684338271636,-0.12792562181016207,-0.14388347594856452,-0.030258151427163715
POP_ACTIVE_TOTALE,-0.7985268871684289,-0.23438462488895387,-0.15251263761712916,0.45791245885142196,-0.09964159837606022,0.22887311294741855,0.10648706820201914,-0.028703446291966746
RETO,0.5090645449141129,0.5355589073797636,0.24980008394685083,0.5900970388614596,-0.1301894273607028,-0.061805744227242526,0.13724998152486895,-0.06171348458883764
SOBG,-0.00318335330867431,0.5015525098701596,0.013156547370470402,0.1690031967886983,0.7834363274631088,-0.01456077126635219,0.30432672503165653,0.11445750313499141
SOPR,0.5739227527819534,0.023566507148771874,0.2701528161126027,0.3500519727664626,0.6521147228807664,0.17568224393796533,-0.02616744784460319,-0.1331757032235723
TAAC,-0.09200019238504505,0.7600031853984173,-0.5643369552089085,0.2721525335762368,-0.05269405702044529,0.06084390623532144,-0.09325472013518542,0.07882153792085925
TACH,0.7405206093459176,-0.6389902752704351,0.1371866983587479,0.004851158528415019,0.05698762619886423,-0.09848626548133414,0.04284461365417051,0.09845880534876741
TAUX_EMPLOI_15P,-0.5746055746046533,0.6184516541462102,-0.5032429003700283,0.12575035159811343,0.002785814536321685,0.0915192216257054,-0.09672540546872381,0.02323972169562506
UNFE,0.7744487944873627,-0.6001985759748575,0.029561477699029424,-0.10196364540015398,0.10112981533769273,-0.003284210705301485,-0.04720472540240996,0.12749100547597791
VAAG,-0.8450223677100364,-0.40560113805541353,-0.22148227497192385,0.13958174456603872,0.04632249503131981,-0.12336333639734437,-0.17791550990332133,0.062203202151255715
VAIN,-0.8367944881957164,0.10752756774803672,0.33593076295479285,-0.21280582485658822,0.12958834205115602,0.21294489285579352,0.07003039733321169,0.2510659032357796
VASE,0.9004013014239932,0.3300678065317613,-0.0994607210146724,-0.10608509136403588,-0.12236108717426968,0.08872551783435881,-0.16714356840323286,-0.09167787204558356
WSWF,0.6974603087311484,0.5417175527181093,0.32033807496408506,-0.3067041519437234,0.03865801096426592,-0.14376108848585004,-0.004110486087219672,0.03505286379622467
